,Series_id,week,1w_Bladfläcksvampar,1w_Brunrost,1w_Svartpricksjuka,1w_Gulrost,1w_Mjöldagg,1w_Vetets bladfläcksjuka,1w_Gräsbladlus,1w_Sädesbladlus,1w_Havrebladlus,1w_Nederbörd
0,0.0,0.07692307692307687,,,,,,,,,,
1,0.0,0.15384615384615374,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.23076923076923062,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091
3,0.0,0.3076923076923077,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.125
4,0.0,0.3846153846153846,0.03,0.0,0.03,0.0,0.02,0.0001,0.0,0.0,0.0,0.0
5,0.0,0.46153846153846145,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.07954545454545454
6,0.0,0.5384615384615385,0.01,0.0,0.01,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.0
7,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014705882352941176,0.17045454545454547
8,0.0,0.6923076923076923,0.03,0.0,0.02,0.0,0.0,0.01,0.0,0.0033898305084745766,0.0014705882352941176,0.0
9,0.0,0.7692307692307692,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.005084745762711864,0.0,0.022727272727272728
10,0.0,0.846153846153846,0.22,0.0,0.22,0.0,0.04,0.0,0.0,0.0288135593220339,0.0,0.14772727272727273
11,0.0,0.9230769230769231,0.8,0.0,0.8,0.0,0.04,0.0,0.0,0.0,0.0,0.05681818181818182
12,0.0004409171075837742,0.07692307692307687,,,,,,,,,,
13,0.0004409171075837742,0.15384615384615374,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0004409171075837742,0.23076923076923062,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.125
15,0.0004409171075837742,0.3076923076923077,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.125
16,0.0004409171075837742,0.3846153846153846,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
