utvecklingsstadium,Series_id,sensitivity,Lufttemperatur_max,Nederbördsmängd_sum,Nederbördsmängd_max,Solskenstid_sum,Daggpunktstemperatur_mean,Relativ Luftfuktighet_mean,Långvågs-Irradians_mean,week,1w_varde,year
0.04285714285714286,0.041666666666666664,0.6,0.2830423940149627,0.02441816100724914,0.034133333333333335,0.470664230016166,0.17376320554931207,0.34827714266578036,0.014102978058626944,0.07142857142857142,0.0,0.0
0.02857142857142857,0.1284722222222222,0.4,0.2817955112219451,0.003433803891644437,0.0048,0.470664230016166,0.2032509786735452,0.3686969025810005,0.014102978058626944,0.07142857142857142,0.02,0.0
0.12857142857142856,0.12731481481481483,0.2,0.2817955112219451,0.005723006486074031,0.008,0.470664230016166,0.2032509786735452,0.3686969025810005,0.014102978058626944,0.07142857142857142,0.0,0.0
0.12857142857142856,0.11921296296296297,0.4,0.2817955112219451,0.0068676077832888205,0.009600000000000001,0.470664230016166,0.2032509786735452,0.3686969025810005,0.014102978058626944,0.07142857142857142,0.1,0.0
0.09523809523809526,0.12037037037037036,0.2,0.2817955112219451,0.006867607783288779,0.0096,0.470664230016166,0.17795113273561036,0.3437228787603639,0.014102978058626944,0.07142857142857142,0.003333333333333333,0.0
0.014285714285714285,0.11689814814814815,1.0,0.31795511221945144,0.007249141549027088,0.010133333333333333,0.470664230016166,0.2018125507162655,0.3727523239613686,0.014102978058626944,0.07142857142857142,0.02,0.0
0.02857142857142857,0.1550925925925926,1.0,0.2980049875311721,0.0019076688286913932,0.0021333333333333334,0.470664230016166,0.1501202829545728,0.30881364848614035,0.014102978058626944,0.07142857142857142,0.1,0.0
0.02857142857142857,0.11458333333333333,1.0,0.31172069825436416,0.005723006486074045,0.0074666666666666675,0.470664230016166,0.15138345940439912,0.29566919225328897,0.014102978058626944,0.07142857142857142,0.02,0.0
0.12857142857142856,0.14467592592592593,1.0,0.25685785536159605,0.0020348467506040944,0.002133333333333333,0.470664230016166,0.20926187777983565,0.4303433833629775,0.014102978058626944,0.07142857142857142,0.12,0.0
0.02857142857142857,0.11226851851851852,0.2,0.2755610972568579,0.004196871423120946,0.005333333333333333,0.470664230016166,0.1501202829545728,0.3088136484861402,0.014102978058626944,0.07142857142857142,0.12,0.0
0.02857142857142857,0.1111111111111111,0.8,0.2755610972568579,0.0011446012972148036,0.0010666666666666667,0.470664230016166,0.1501202829545728,0.3088136484861402,0.014102978058626944,0.07142857142857142,0.18,0.0
0.02857142857142857,0.1099537037037037,0.8,0.2755610972568579,0.0041968714231210005,0.005333333333333333,0.470664230016166,0.1643429669815358,0.3668020984250214,0.014102978058626944,0.07142857142857142,0.1,0.0
0.05714285714285714,0.1087962962962963,0.4,0.2755610972568579,0.0041968714231210005,0.005333333333333333,0.470664230016166,0.1643429669815358,0.3668020984250214,0.014102978058626944,0.07142857142857142,0.0,0.0
0.02857142857142857,0.1423611111111111,0.8,0.2344139650872818,0.0005087116876510779,0.0007111111111111111,0.470664230016166,0.20926187777983565,0.4303433833629775,0.014102978058626944,0.07142857142857142,0.12,0.0
0.02857142857142857,0.16666666666666666,0.2,0.213216957605985,0.0003815337657382678,0.0005333333333333334,0.5078747355301119,0.1643429669815358,0.3668020984250214,0.014102978058626944,0.07142857142857142,0.035,0.0
0.04285714285714286,0.13078703703703703,0.8,0.26184538653366585,0.004578405188859214,0.0063999999999999994,0.470664230016166,0.16992825528401098,0.39131803772443235,0.014102978058626944,0.07142857142857142,0.0,0.0
0.12857142857142856,0.04861111111111111,0.6,0.18827930174563595,0.018695154521175206,0.026133333333333335,0.6256934629946981,0.06746757525107434,0.2755723952161863,0.12233184829522772,0.14285714285714285,0.06,0.0
0.05714285714285714,0.04398148148148148,1.0,0.18453865336658362,0.02289202594429607,0.032,0.5858270691236479,0.09729957345190135,0.3379287338248218,0.12233184829522772,0.14285714285714285,0.0,0.0
